run,dataset,examples,exact_match,relaxed_match,dataset_score,avg_visual_tokens,avg_latency_s
fixed_36,gqa,150,0.7,0.7,0.7,36.0,0.23716059681333113
fixed_36,scienceqa_img,150,0.5266666666666666,0.5266666666666666,0.5266666666666666,36.0,0.23605203757996301
fixed_36,textvqa,150,0.2866666666666667,0.31333333333333335,0.2546666666666667,36.0,0.349148794666653
fixed_36,vqav2,150,0.6733333333333333,0.6866666666666666,0.6733333333333333,36.0,0.2603248458066749
fixed_64,gqa,150,0.7266666666666667,0.7266666666666667,0.7266666666666667,64.0,0.24771301217335348
fixed_64,scienceqa_img,150,0.5333333333333333,0.5333333333333333,0.5333333333333333,64.0,0.24799170973329335
fixed_64,textvqa,150,0.28,0.32,0.24333333333333335,64.0,0.37015028177339143
fixed_64,vqav2,150,0.6866666666666666,0.7,0.6866666666666666,64.0,0.2743323160400481
fixed_144,gqa,150,0.72,0.7266666666666667,0.72,144.0,0.2685270650933368
fixed_144,scienceqa_img,150,0.52,0.52,0.52,144.0,0.2781655143799799
fixed_144,textvqa,150,0.32,0.38,0.2793333333333333,144.0,0.38560546798672174
fixed_144,vqav2,150,0.6933333333333334,0.7066666666666667,0.6933333333333334,144.0,0.28774002365998363
fixed_256,gqa,150,0.7066666666666667,0.7133333333333334,0.7066666666666667,256.0,0.3209659435799949
fixed_256,scienceqa_img,150,0.48,0.48,0.48,256.0,0.3114079386933796
fixed_256,textvqa,150,0.34,0.3933333333333333,0.29800000000000004,256.0,0.44416818692662974
fixed_256,vqav2,150,0.6866666666666666,0.7,0.6866666666666666,256.0,0.3392542888333082
router_prompt,gqa,150,0.72,0.72,0.72,92.58666666666667,0.2594730888600558
router_prompt,scienceqa_img,150,0.5266666666666666,0.5266666666666666,0.5266666666666666,83.86666666666666,0.25560368473335376
router_prompt,textvqa,150,0.30666666666666664,0.3466666666666667,0.26733333333333337,109.22666666666667,0.38516157763331044
router_prompt,vqav2,150,0.68,0.6933333333333334,0.68,63.14666666666667,0.27332496356667735
router_image,gqa,150,0.7333333333333333,0.7333333333333333,0.7333333333333333,120.64,0.26101210574666767
router_image,scienceqa_img,150,0.54,0.54,0.54,84.26666666666667,0.25558056480002656
router_image,textvqa,150,0.32666666666666666,0.37333333333333335,0.2826666666666667,117.01333333333334,0.38984703955332106
router_image,vqav2,150,0.6866666666666666,0.7,0.6866666666666666,97.62666666666667,0.2842074910933722
router_multimodal,gqa,150,0.7133333333333334,0.7133333333333334,0.7133333333333334,95.92,0.25775210473996896
router_multimodal,scienceqa_img,150,0.5266666666666666,0.5266666666666666,0.5266666666666666,63.68,0.24949206552662873
router_multimodal,textvqa,150,0.3,0.34,0.26066666666666666,97.6,0.37946777471333915
router_multimodal,vqav2,150,0.68,0.6933333333333334,0.68,50.74666666666667,0.2702121345000523
router_cross_attention,gqa,150,0.7133333333333334,0.7133333333333334,0.7133333333333334,60.906666666666666,0.2455106169933303
router_cross_attention,scienceqa_img,150,0.5333333333333333,0.5333333333333333,0.5333333333333333,63.25333333333333,0.2472572755466596
router_cross_attention,textvqa,150,0.28,0.32,0.24533333333333332,67.01333333333334,0.3721569143732995
router_cross_attention,vqav2,150,0.6866666666666666,0.7,0.6866666666666666,61.14666666666667,0.274325284719974
